# Collections in test_database  (snapshot: 20260722-1433 UTC)
# Total: 24 collections, 8675 documents

alert_digests                        13 documents
auctions                             91 documents
audit_log                          4755 documents
cars                                647 documents
clients                             664 documents
contact_messages                     24 documents
contracts                           542 documents
electronics                          73 documents
expenses                             39 documents
files                               176 documents
funding_repayments                    0 documents
funding_sources                       2 documents
invoices                             55 documents
job_runs                              1 documents
migrations                            1 documents
motorcycles                          58 documents
password_reset_tokens                12 documents
payments                            587 documents
pezadus                               2 documents
reminder_log                         67 documents
report_views                          0 documents
settings                              1 documents
users                               124 documents
whatsapp_log                        741 documents
